DENOMINACIÓN;ENDEREZO;CÓDIGO POSTAL;LOCALIDADE;PROVINCIA;TELÉFONO;FAX;EMAIL;WEB;XESTIÓN AUTONÓMICA;LIGAZÓN GOOGLE MAPS;COORDENADAS
Colección Casa do Patrón;Codeseda, 7. Doade;36519;Lalín;Pontevedra;986692203;986787341;info@museocasadopatron.com;http://www.museocasadopatron.com;Non;https://maps.google.es/maps?q=42.608306,+-8.132555&hl=en&ll=42.608309,-8.132554&spn=0.001054,0.002642&sll=42.533093,-8.301351&sspn=0.002111,0.005284&t=h&z=19;42.608306, -8.132555
Museo Municipal Ramón María Aller Ulloa;Rúa Ramón Aller, 9;36500;Lalín;Pontevedra;986784004;;museo@lalin.org;http://lalin.gal/museos/museo-ram%C3%B3n-mar%C3%ADa-aller;Non;https://maps.google.es/maps?q=42.66125,+-8.113306&hl=en&ll=42.661247,-8.113307&spn=0.001053,0.002642&sll=42.392831,-8.700163&sspn=0.001058,0.002642&t=h&z=19;42.66125, -8.113306
Museo Municipal Manuel Torres;Avda. de Ourense, s/n;36900;Marín;Pontevedra;986891186;986890452;museotorres@terra.es;http://www.concellodemarin.es;Non;https://maps.google.es/maps?q=42.392833,+-8.700167&hl=en&ll=42.392831,-8.700163&spn=0.001058,0.002642&sll=42.217907,-8.73117&sspn=0.001061,0.002642&t=h&z=19;42.392833, -8.700167
Museo Municipal de Ponteareas;Rúa da Perillana, 9-11;36860;Ponteareas;Pontevedra;672105468;986660647;bibliotecamuseo@ponteareas.es;;Non;https://maps.google.es/maps?q=42.174777,+-8.508361&hl=en&ll=42.174779,-8.508359&spn=0.002123,0.005284&sll=42.661247,-8.113307&sspn=0.001053,0.002642&t=h&z=18;42.174777, -8.508361
Museo Provincial de Pontevedra;Rúa da Pasantería, 2-12;36002;Pontevedra;Pontevedra;986804100;886201301;secretaria.museo@depo.es;http://www.museo.depo.es;Non;https://maps.google.es/maps?q=42.432555,+-8.642944&hl=en&ll=42.432556,-8.642944&spn=0.001057,0.002642&sll=-8.642944,42.432555&sspn=2.899753,5.410767&t=h&z=19;42.432555, -8.642944
Museo Catedralicio de Tui;Catedral de Tui. Praza de San Fernando;36700;Tui;Pontevedra;986600511;;bispado@diocesetuivigo.org;https://www.diocesetuivigo.org;Non;https://maps.google.es/maps?q=42.046083,+-8.644694&hl=en&ll=42.046329,-8.644234&spn=0.002127,0.005284&sll=-8.644694,42.046083&sspn=2.899711,5.410767&t=h&z=18;42.046083, -8.644694
Museo Diocesano de Tui;Praza do Concello, s/n;36700;Tui;Pontevedra;986600511;;bispado@diocesetuivigo.org;https://www.diocesetuivigo.org;Non;https://maps.google.es/maps?q=42.046333,+-8.644694&hl=en&ll=42.046333,-8.644695&spn=0.001064,0.002642&sll=42.046329,-8.644234&sspn=0.002127,0.005284&t=h&z=19;42.046333, -8.644694
Museo da Historia de Valga;Rúa Baixa, 5;36645;Valga;Pontevedra;986559456 / 636758346;;museo@valga.gal;;Non;https://www.google.com/maps/place/Museo+da+Historia+de+Valga/@42.6992433,-8.6484678,15z/data=!4m2!3m1!1s0x0:0x29d283d99d937d43?sa=X&ved=2ahUKEwiDmr3apaTpAhXLzYUKHfOxAh0Q_BIwCnoECBEQCA;42.6992433,-8.6484678
Fundación Laxeiro;Policarpo Sainz, 15 3º;36202;Vigo;Pontevedra;986438475;986438475; fundacion@laxeiro.es;https://laxeiro.org;Non;https://maps.google.es/maps?q=42.237666,+-8.722888&hl=en&ll=42.237667,-8.722887&spn=0.00106,0.002642&sll=42.608309,-8.132554&sspn=0.001054,0.002642&t=h&z=19;42.237666, -8.722888
Museo ANFACO da Industria Conserveira;Estrada do Colexio Universitario, 16;36310;Vigo;Pontevedra;986469301;986469269;museo@anfaco.es;http://www.museoconservas.es;Non;https://maps.google.es/maps?q=42.168055,+-8.686944&hl=en&ll=42.168056,-8.686945&spn=0.003003,0.005284&sll=42.237667,-8.722887&sspn=0.00106,0.002642&t=h&z=18;42.168055, -8.686944
Museo Liste Vigo;Rúa Pastora, 22;36210;Vigo;Pontevedra;986244698;986298229;fun.museoliste@terra.es;http://www.museoliste.org;Non;https://maps.google.es/maps?q=42.217909,-8.731076&ll=42.217907,-8.73117&spn=0.001061,0.002642&num=1&t=h&z=19;42.217909,-8.731076
Museo Municipal de Vigo Quiñones de León;Pazo de Castrelos. Parque de Castrelos, s/n;36213;Vigo;Pontevedra;986295075 / 986295070;;museocastrelos@vigo.org;http://www.museodevigo.org;Non;https://maps.google.es/maps?q=42.213222,+-8.727666&hl=en&ll=42.213397,-8.728005&spn=0.004243,0.010568&sll=42.174779,-8.508359&sspn=0.002123,0.005284&t=h&z=17;42.213222, -8.727666
Casa Museo Valle Inclán;Rúa Luces de Bohemia, s/n;36620;Vilanova de Arousa;Pontevedra;986555493;;museos@vilanovadearousa.com;;Non;https://www.google.es/maps/place/Casa-Museo+De+Valle+Incl%C3%A1n/@42.5627554,-8.828284,19z/;42.562853, -8.827420
